client_code;pom_canonic;capa_proposta;instancia_proposta;descripcions_cobertes
FF1;Y1;exterior;«Back bottom piece» · pos. CB;Back bottom piece height at CB
FI;FI;exterior;;Largo entrepierna / Inseam length
FR;FD;folre/exterior;datum EXCL. CINTURILLA;Front rise (excl. waistband)
FS;FS;exterior;pos. CF;Total length at the CF / Skirt CF length / Total CF length of the skirt
FS1;FS;exterior;;"Skirt side length; Total length at the right side when wearing"
FS2;FS;exterior;;"Total length at the CB / Total CB length of the skirt; Total length at the left side when wearing"
FS3;FS;exterior;pos. SIDE;Total length at the side seams
FS4;FS;exterior;inst. lliure «Top layer» · datum COSTURA DE CINTURILLA;Top layer of the skirt length from waistband bottom seam
FS5;FS5;folre;;Lining length difference between true length
FZ;ZF;fornitura;;Cord width
G1;G1;exterior;;"Bottom height / Bottom hem; Bottom hem / Bottom rib height"
G2;W;fornitura;pos. cintura;Elastic height at the waist
GD;GD;exterior;;Godet length at the longest point
GD1;GD1;exterior;;Godet length at the seams
HL;HL;exterior;;Hoodie's height at the shoulder point
HO;HO;exterior;;1/2 opening of the hoodie
HW;HW;exterior;;Width of the hoodie at 12 cm from top edge
I;I;exterior;;Sleeve length
I4;I4;exterior;;Sleeve length from CB over shoulder point (incl cuff)
J;J;exterior;;1/2 Bicep width
J1;J1;exterior;estat relaxed;Sleeve opening relaxed
J2;J1;exterior;estat EXTENDED;Sleeve opening stretched out
J3;J3;exterior;;Sleeve hem / Sleeve cuff height
J4;I5;exterior;;Elbow position measured from CB over shoulder point
JJ;JJ;exterior;;1/2 Elbow width
L;P;exterior;;Back yoke CB height from top edge / Back yoke height at CB
L2;L;exterior;;Yoke seam from armhole to armhole
LZ1;ZL;fornitura;;"Collar bow total length from edge to edge; Cord length / Total cord length"
M2;Y;exterior;«Front piece» · pos. BOTTOM;Front piece width at the bottom
P;Y1;exterior;«Chest piece» · pos. SIDE;Height at side seam (Chest piece)
PKT CF;PR;exterior;;Pocket placement from CF
PKT D;R3;exterior;;Pocket length
PKT S;PR;exterior;;Pocket placement from side seam
PR1;PR;exterior;;"Pocket position from side seam; Posición bolsillo detrás"
PR2;PR;exterior;;Pocket position from waistband
PR3;PR;exterior;;Posición bolsillo desde centro
R;R1;exterior;;Pocket opening
R1;R3;exterior;;Largo bolsillo / pocket length
R2;R2;exterior;;"Pocket width; Pocket width at the top"
R3;R3;exterior;;"Ancho bolsillo detrás / back pocket length; Pocket height at the center"
R4;R2;exterior;;"Ancho bolsillo detrás / back pocket width; Pocket width at the bottom"
RR;G1;exterior;;Pocket opening height hem
S;S;exterior;;Front armhole along seam
S2;S2;exterior;;Back armhole along seam
SF;SF;exterior;;"Armhole depth from HPS / Sleeve depth; Sleeve depth from HPS to seam excluding collar binding"
U;Y;exterior;«Sequins piece»;Width sequins piece
U1;Y1;exterior;«Sequins piece»;Height sequins piece / Sequins piece height
U2;U2;exterior;;First button measured from top
U3;U3;exterior;;Last button measured from collar seam
UT1;UT1;fornitura;;Alto loop / loop length
UT2;UT2;fornitura;;Ancho loop / loop width
V;V;exterior;;"Frill at the armhole measured at the shoulder; Frill width at the shoulder / Side frill width; Ruffle at the hem"
V1;V;exterior;pos. TOP / BOTTOM;Top / Bottom front frill width at CB
VL;VP;exterior;;End of frill distance from HPS
VL1;VP;exterior;2a instància · pos. CF;End of bottom frilling at CF from HPS
